duration(ms), elements, numThreads, percAdd, percRemove, percContains, transaction_size\n
465782, 500000, 1, 70, 15, 15, 1, 
250690, 500000, 2, 70, 15, 15, 1, 
147452, 500000, 4, 70, 15, 15, 1, 
200670, 500000, 8, 70, 15, 15, 1, 
256759, 500000, 1, 15, 70, 15, 1, 
127732, 500000, 2, 15, 70, 15, 1, 
80973, 500000, 4, 15, 70, 15, 1, 
111748, 500000, 8, 15, 70, 15, 1, 
256134, 500000, 1, 15, 15, 70, 1, 
131103, 500000, 2, 15, 15, 70, 1, 
90499, 500000, 4, 15, 15, 70, 1, 
104619, 500000, 8, 15, 15, 70, 1, 
