duration(ms), elements, numThreads, percAdd, percRemove, percContains, transaction_size\n
325341, 500000, 1, 70, 15, 15, 1, 
331211, 500000, 1, 70, 15, 15, 2, 
327443, 500000, 1, 70, 15, 15, 3, 
196907, 500000, 2, 70, 15, 15, 1, 
209554, 500000, 2, 70, 15, 15, 2, 
195493, 500000, 2, 70, 15, 15, 3, 
174951, 500000, 4, 70, 15, 15, 1, 
169189, 500000, 4, 70, 15, 15, 2, 
176828, 500000, 4, 70, 15, 15, 3, 
244607, 500000, 8, 70, 15, 15, 1, 
214686, 500000, 8, 70, 15, 15, 2, 
182561, 500000, 8, 70, 15, 15, 3, 
353750, 500000, 1, 15, 70, 15, 1, 
443105, 500000, 1, 15, 70, 15, 2, 
322753, 500000, 1, 15, 70, 15, 3, 
120975, 500000, 2, 15, 70, 15, 1, 
123914, 500000, 2, 15, 70, 15, 2, 
142239, 500000, 2, 15, 70, 15, 3, 
91793, 500000, 4, 15, 70, 15, 1, 
91756, 500000, 4, 15, 70, 15, 2, 
90283, 500000, 4, 15, 70, 15, 3, 
99695, 500000, 8, 15, 70, 15, 1, 
105785, 500000, 8, 15, 70, 15, 2, 
108443, 500000, 8, 15, 70, 15, 3, 
202186, 500000, 1, 15, 15, 70, 1, 
206977, 500000, 1, 15, 15, 70, 2, 
208097, 500000, 1, 15, 15, 70, 3, 
127605, 500000, 2, 15, 15, 70, 1, 
126778, 500000, 2, 15, 15, 70, 2, 
126480, 500000, 2, 15, 15, 70, 3, 
90762, 500000, 4, 15, 15, 70, 1, 
90181, 500000, 4, 15, 15, 70, 2, 
80457, 500000, 4, 15, 15, 70, 3, 
92938, 500000, 8, 15, 15, 70, 1, 
89594, 500000, 8, 15, 15, 70, 2, 
100972, 500000, 8, 15, 15, 70, 3, 
